ISSUER_NAME,TOTAL__REVENUE,ECONOMIC_SECTOR,TOTAL_GHG: MEAN_INTENSITY,CARBON_INTENSITY
CRH Finland Services OYJ,2.07,Other sectors,27200000.0,13140096.62
Holcim Finance S.A.,103.91,Other sectors,163219755.0,1570780.05
BASF Finance Europe N.V.,29.71,Other sectors,21920000.0,737798.72
"Conti-Gummi Finance B.V., Amsterdam",5.25,Other sectors,3045659.0,580125.52
Deutsche Post Finance B.V.,16.41,Other sectors,6490000.0,395490.55
ESB Finance DAC,104.63,Other sectors,10269792.0,98153.42
John Deere Cash Management SA,13.59,Other sectors,1113565.0,81940.03
EnBW International Finance BV,214.05,Other sectors,17221000.0,80453.17
Iberdrola International B.V.,345.41,Other sectors,26415067.0,76474.53
Total Capital International S.A.,528.89,Other sectors,39400000.0,74495.64
ENI Finance International S.A.,552.64,Other sectors,40811550.0,73848.35
TOTAL INFRASTRUCTURES GAZ FRANCE,732.654975,Infrastructure and transportation,39400000.0,53777.02
Linde AG,278.67,Other sectors,9600000.0,34449.35
EDP Finance B.V.,651.38,Utilities,19496241.0,29930.67
ABB Finance B.V.,62.27,Other sectors,1421000.0,22819.98
Linea Group Holding S.p.A.,549.01,Other sectors,7103440.0,12938.63
"Ferrovial Emisiones, S.A.",58.17,Other sectors,748897.0,12874.28
Volkswagen Intl Finance N.V.,887.209519,Other sectors,10673039.0,12029.9
E.ON Intl Finance B.V.,745.735737,Other sectors,7976711.64,10696.43
E.ON Intl Finance B.V.,745.735737,Insurance,7976711.64,10696.43
Roche Finance Europe B.V.,71.18,Other sectors,729926.2,10254.65
RTE EDF TRANSPORT,5251.98,Utilities,50513272.0,9617.95
CARMILA,357.91,Real estate,2775432.0,7754.55
Coca Cola HBC Finance B.V.,100.54,Other sectors,610514.0,6072.35
Barry Callebaut Services N.V,62.52,Other sectors,360532.0,5766.67
Bayer Capital Corp. B.V.,280.05,Other sectors,1610000.0,5748.97
"Fortum Oyj, Helsinki",5160.09,Utilities,18868400.0,3656.6
METRO Finance B.V.,70.96,Beverages,257815.0,3633.24
HeidelbergCement AG,19603.84,Other sectors,65275130.0,3329.71
HeidelbergCement Fin.Lux. S.A.,19603.8351,Other sectors,65275130.0,3329.71
Amadeus Capital Markets S.A.U.,11.82,Other sectors,36856.0,3118.1
Deutsche Telekom Intl Fin.B.V.,1246.27,Other sectors,3863684.49,3100.2
BMW Finance N.V.,755.01,Other sectors,2094594.0,2774.26
ArcelorMittal  S.A,68679.0,Energy and basic resources,189783787.0,2763.35
Engie S.A.,67312.8354,Utilities,124005237.0,1842.22
EVN AG,2470.88,Utilities,3399389.0,1375.78
DNA Oyj,1001.16,Telecommunication,1330569.0,1329.03
ENEL S.p.A.,82204.46,Utilities,107133737.0,1303.26
Compagnie Fin. Ind. Autoroutes,1721.12,Infrastructure and transportation,2233043.0,1297.44
Veolia Environnement S.A.,28041.44,Other sectors,34023120.0,1213.32
A2A S.p.A.,6389.39,Utilities,7103440.0,1111.76
Air Liquide Finance,22991.96,Other sectors,25236000.0,1097.6
Air Liquide S.A.,22991.96,Other sectors,25236000.0,1097.6
International Consolidated Airlines Group,25851.31,Infrastructure and transportation,28365140.0,1097.24
EDP - Energias de Portugal SA,17790.84,Utilities,19496241.0,1095.86
Solvay S.A.,12410.44,Chemicals,13204372.0,1063.97
Siemens Financieringsmaatschappij N.V.,820.054678,Other sectors,855593.0,1043.34
ERG S.p.A,1195.04,Other sectors,1228672.0,1028.14
Citycon Treasury B.V.,66.41,Other sectors,65923.0,992.67
IREN S.P.A.,3990.24,Utilities,3926580.0,984.05
Iren S.p.A.,3990.24,Utilities,3926580.0,984.05
Linde plc,11358.0,Other sectors,9600000.0,845.22
Daimler Intl Finance B.V.,4098.02,Other sectors,3197000.0,780.13
Deutsche Lufthansa AG,40280.82,Infrastructure and transportation,29525982.0,733.0
ELECTRICITE DE FRANCE (EDF),73319.2,Utilities,50513272.0,688.95
LANXESS AG,9407.25574,Other sectors,6192000.0,658.22
Allianz Finance II B.V.,494.38,Other sectors,316345.0,639.88
UPM-Kymmene OYJ,11309.95,Other sectors,6731000.0,595.14
Verbund AG,3294.4,Utilities,1922199.0,583.47
ENI S.P.A.,76497.67,Energy and basic resources,40811550.0,533.5
ENI S.p.A.,76497.67,Energy and basic resources,40811550.0,533.5
