YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WEIGHTED_INTENSITY,MED_WEIGHTED_INTENSITY,TOTAL_HOLDINGS,TOTAL_HOLDINGS(USD),SECTOR_CSPP_HOLDINGS,SECTOR_ELIGIBLE_CSPP_UNIVERSE,COUNTRY_CSPP_HOLDINGS,COUNTRY_ELIGIBLE_CSPP_UNIVERSE,WEIGHTS,SUM_WEIGHTS,MEAN_WACI,MEDIAN_WACI
2017,Automotive and parts,Germany,10601.77,10601.77,114630.2857142857,120362,0.1,0.1,0.25,0.25,0.025,0.6587,402.3747533019585,402.3747533019585
2017,Beverages,Belgium,61.3590091702165,61.3590091702165,114630.2857142857,120362,0.05,0.04,0.05,0.05,0.002500000000000001,0.6587,0.23287919071738475,0.23287919071738475
2017,Beverages,Germany,914.1634044220538,7.803178838574396,114630.2857142857,120362,0.05,0.04,0.25,0.25,0.0125,0.6587,17.347870890049602,0.14807914905447087
2017,Beverages,Italy,143.18467596547268,143.18467596547268,114630.2857142857,120362,0.05,0.04,0.11,0.12,0.0055000000000000005,0.6587,1.1955605249887655,1.1955605249887655
2017,Beverages,Netherlands,61.3590091702165,61.3590091702165,114630.2857142857,120362,0.05,0.04,0.06,0.05,0.003,0.6587,0.27945502886086154,0.27945502886086154
2017,Beverages,Spain,42.7,42.7,114630.2857142857,120362,0.05,0.04,0.11,0.1,0.0055000000000000005,0.6587,0.35653560042507976,0.35653560042507976
2017,Chemicals,Belgium,1063.9729131279794,1063.9729131279794,114630.2857142857,120362,0.05,0.04,0.05,0.05,0.002500000000000001,0.6587,4.038154368938743,4.038154368938743
2017,Chemicals,France,22.663350669177937,22.663350669177937,114630.2857142857,120362,0.05,0.04,0.29,0.31,0.014499999999999999,0.6587,0.49888960786865055,0.49888960786865055
2017,Chemicals,Germany,7989.891333184751,10601.77,114630.2857142857,120362,0.05,0.04,0.25,0.25,0.0125,0.6587,151.62234957463093,201.18737665097925
2017,Construction & Materials,France,256.8264305914889,132.83752489312982,114630.2857142857,120362,0.06,0.05,0.29,0.31,0.0174,0.6587,6.784241524657516,3.5089918523462256
2017,Construction & Materials,Italy,17.85284299239315,17.85284299239315,114630.2857142857,120362,0.06,0.05,0.11,0.12,0.0066,0.6587,0.1788807708361846,0.1788807708361846
2017,Construction & Materials,Other (euro area),53.27,53.27,114630.2857142857,120362,0.06,0.05,0.06,0.06,0.0036,0.6587,0.2911370882040383,0.2911370882040383
2017,Energy and basic resources,Belgium,82.93947983842392,82.93947983842392,114630.2857142857,120362,0.07,0.08,0.05,0.05,0.0035000000000000005,0.6587,0.44069861763243323,0.44069861763243323
2017,Energy and basic resources,France,445.40088159652817,445.40088159652817,114630.2857142857,120362,0.07,0.08,0.29,0.31,0.020300000000000002,0.6587,13.726488380764419,13.726488380764419
2017,Energy and basic resources,Germany,392.6229121499512,316.8833481848309,114630.2857142857,120362,0.07,0.08,0.25,0.25,0.0175,0.6587,10.43100191684249,8.418792459745774
2017,Energy and basic resources,Italy,533.5005628275999,533.5005628275999,114630.2857142857,120362,0.07,0.08,0.11,0.12,0.007700000000000001,0.6587,6.23645716376578,6.23645716376578
2017,Energy and basic resources,Netherlands,159.18770740312962,71.99045678418202,114630.2857142857,120362,0.07,0.08,0.06,0.05,0.004200000000000001,0.6587,1.0150119494354708,0.459025229229641
2017,Energy and basic resources,Other (euro area),463.0640472853792,494.768105748698,114630.2857142857,120362,0.07,0.08,0.06,0.06,0.004200000000000001,0.6587,2.9525869114901977,3.1547381875581175
2017,Energy and basic resources,Spain,689.6800000000001,689.6800000000001,114630.2857142857,120362,0.07,0.08,0.11,0.1,0.007700000000000001,0.6587,8.062146652497347,8.062146652497347
2017,Food,France,48.03818282909185,52.35046751807881,114630.2857142857,120362,0.04,0.03,0.29,0.31,0.011599999999999997,0.6587,0.8459737677508204,0.9219150192951481
2017,Food,Germany,18.468083634434798,17.23711674333077,114630.2857142857,120362,0.04,0.03,0.25,0.25,0.01,0.6587,0.28037169628715347,0.2616838734375401
2017,Food,Netherlands,91.39576298307712,30.79973409710193,114630.2857142857,120362,0.04,0.03,0.06,0.05,0.0024,0.6587,0.33300414628720976,0.11222007261734421
2017,Infrastructure and transportation,France,2913.943662372182,356.39,114630.2857142857,120362,0.12,0.14,0.29,0.31,0.0348,0.6587,153.94753218544398,18.82855928343707
2017,Infrastructure and transportation,Germany,184.5158663680151,94.70502594757193,114630.2857142857,120362,0.12,0.14,0.25,0.25,0.03,0.6587,8.403637454137625,4.3132697410462395
2017,Infrastructure and transportation,Italy,154.95316679658654,31.91694500878069,114630.2857142857,120362,0.12,0.14,0.11,0.12,0.0132,0.6587,3.1051795987778084,0.6395987158280023
2017,Infrastructure and transportation,Netherlands,195.37510221898873,356.39,114630.2857142857,120362,0.12,0.14,0.06,0.05,0.0072,0.6587,2.1355711795608303,3.8955639896766354
2017,Infrastructure and transportation,Other (euro area),356.39,356.39,114630.2857142857,120362,0.12,0.14,0.06,0.06,0.0072,0.6587,3.8955639896766354,3.8955639896766354
