ISSUER_NAME,NACE_CODE,SECTOR,COUNTRY_OF_RISK
Delhaize Group S.A.,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Belgium
RESA SA,D,"Electricity, Gas, Steam And Air Conditioning Supply",Belgium
Cofinimmo S.A./N.V.,L,Real Estate Activities,Belgium
Elia Transmission Belgium,D,"Electricity, Gas, Steam And Air Conditioning Supply",Belgium
Fluvius System Operator CVBA,D,"Electricity, Gas, Steam And Air Conditioning Supply",Belgium
Befimmo SA,K,Financial And Insurance Activities,Belgium
Solvay S.A.,C,Manufacturing,Belgium
Anheuser-Busch InBev S.A./N.V.,B,Mining And Quarrying,Belgium
Apetra N.V.,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Belgium
Henkel AG  KGaA,K,Financial And Insurance Activities,Netherlands
"BRISA-Concessao Rodoviaria, SA",R,"Arts, Entertainment And Recreation",Portugal
"CP Comboios de Portugal, E.P.E.",H,Transportation And Storage,Portugal
Metropolitano de Lisboa,H,Transportation And Storage,Portugal
NOS SGPS,J,Information And Communication,Portugal
Telecom Italia Finance S.A.,K,Financial And Insurance Activities,Luxembourg
EDP Finance B.V.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Netherlands
"Nederlandse Gasunie, N.V.",D,"Electricity, Gas, Steam And Air Conditioning Supply",Netherlands
HeidelbergCement Fin.Lux. S.A.,K,Financial And Insurance Activities,Luxembourg
TenneT Holding BV,D,"Electricity, Gas, Steam And Air Conditioning Supply",Netherlands
SES S.A.,J,Information And Communication,Luxembourg
Akzo Nobel N.V.,C,Manufacturing,Netherlands
ENEXIS Holding NV,D,"Electricity, Gas, Steam And Air Conditioning Supply",Netherlands
Roche Finance Europe B.V.,K,Financial And Insurance Activities,Netherlands
ABB Finance B.V.,K,Financial And Insurance Activities,Netherlands
Alliander N.V.,D,"Electricity, Gas, Steam And Air Conditioning Supply",Netherlands
Nestl� Finance Intl Ltd.,K,Financial And Insurance Activities,Luxembourg
Koninklijke KPN NV,J,Information And Communication,Netherlands
Wolters Kluwer N.V.,C,Manufacturing,Netherlands
Heineken N.V.,B,Mining And Quarrying,Netherlands
Coca Cola HBC Finance B.V.,K,Financial And Insurance Activities,Netherlands
SPP Infrastructure Fing B.V.,K,Financial And Insurance Activities,Netherlands
ASML Holding N.V.,C,Manufacturing,Netherlands
Z�padoslovensk� energetika AS,K,Financial And Insurance Activities,Slovakia
Koninklijke DSM NV,C,Manufacturing,Netherlands
EXOR N.V.,C,Manufacturing,Netherlands
Achmea B.V.,K,Financial And Insurance Activities,Netherlands
Holcim Finance S.A.,K,Financial And Insurance Activities,Luxembourg
"Petrol d.d., Ljubljana",B,Mining And Quarrying,Slovenia
Airbus SE,K,Financial And Insurance Activities,Netherlands
Citycon Treasury B.V.,K,Financial And Insurance Activities,Netherlands
Unilever NV,K,Financial And Insurance Activities,United Kingdom
NN Group NV,K,Financial And Insurance Activities,Netherlands
Royal Schiphol Group N.V.,H,Transportation And Storage,Netherlands
Paccar Financial Europe B.V.,K,Financial And Insurance Activities,Netherlands
Aroundtown SA,K,Financial And Insurance Activities,Luxembourg
Aegon NV,K,Financial And Insurance Activities,Netherlands
ADLER Group S.A.,L,Real Estate Activities,Luxembourg
Grand City Properties S.A.,L,Real Estate Activities,Luxembourg
Koninklijke Philips N.V.,C,Manufacturing,Netherlands
John Deere Cash Management SA,K,Financial And Insurance Activities,Luxembourg
Koninklijke Ahold Delhaize N.V.,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Netherlands
Stedin Holding N.V.,K,Financial And Insurance Activities,Netherlands
PostNL NV,H,Transportation And Storage,Netherlands
Euronext N.V.,K,Financial And Insurance Activities,Netherlands
EWE AG,D,"Electricity, Gas, Steam And Air Conditioning Supply",Germany
Daimler AG,C,Manufacturing,Germany
METRO AG,G,Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,Germany
SAP SE,C,Manufacturing,Germany
Deutsche B�rse AG,K,Financial And Insurance Activities,Germany
Allianz Finance II B.V.,K,Financial And Insurance Activities,Netherlands
Vonovia Finance B.V.,K,Financial And Insurance Activities,Netherlands
Evonik Finance B.V.,B,Mining And Quarrying,Netherlands
BASF Finance Europe N.V.,K,Financial And Insurance Activities,Netherlands
Daimler Intl Finance B.V.,K,Financial And Insurance Activities,Netherlands
Siemens Financieringsmaatschappij N.V.,K,Financial And Insurance Activities,Netherlands
W�rth Finance International BV,K,Financial And Insurance Activities,Netherlands
K+S Aktiengesellschaft,C,Manufacturing,Germany
Linde AG,K,Financial And Insurance Activities,Netherlands
BASF SE,B,Mining And Quarrying,Germany
Talanx AG,K,Financial And Insurance Activities,Germany
E.ON Intl Finance B.V.,K,Financial And Insurance Activities,Netherlands
BMW Finance N.V.,K,Financial And Insurance Activities,Netherlands
EnBW International Finance BV,K,Financial And Insurance Activities,Netherlands
Deutsche Telekom Intl Fin.B.V.,K,Financial And Insurance Activities,Netherlands
Eurogrid GmbH,K,Financial And Insurance Activities,Germany
Volkswagen Intl Finance N.V.,K,Financial And Insurance Activities,Netherlands
