ISIN_CODE,QUARTER,number_of_issues,from,type,ISSUER_NAME_1,ISSUER_NAME_2,SECTOR,NACE_CODE,COUNTRY_OF_RISK,COUPON_RATE,MATURITY_DATE
AT0000A0KSM6,2017Q2,2,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,5,27/10/2017
AT0000A0KSM6,2017Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,5,27/10/2017
AT0000A0KSM6,2017Q4,3,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,5,27/10/2017
AT0000A0PHV9,2017Q2,2,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.75,25/05/2018
AT0000A0PHV9,2017Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.75,25/05/2018
AT0000A0PHV9,2017Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.75,25/05/2018
AT0000A0PHV9,2018Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.75,25/05/2018
AT0000A0PHV9,2018Q2,7,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.75,25/05/2018
AT0000A0V7D8,2017Q2,2,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2017Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2017Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2018Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2018Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2018Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2018Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2019Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0V7D8,2019Q2,5,ECB,Buys,STRABAG SE,-,Construction,F,Austria,4.25,10/05/2019
AT0000A0X913,2017Q2,2,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2017Q3,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2017Q4,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2018Q1,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2018Q2,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2018Q3,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2018Q4,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2019Q1,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2019Q2,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2019Q3,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2019Q4,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2020Q1,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2020Q2,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2020Q3,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2020Q4,12,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2021Q1,12,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2021Q2,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2021Q3,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2021Q4,13,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0X913,2022Q1,7,ECB,Buys,KELAG-K�rntner Elektrizit�ts- Aktiengesellschaft,-,"Electricity, Gas, Steam And Air Conditioning Supply",D,Austria,3.25,24/10/2022
AT0000A0XSN7,2017Q2,2,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2017Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2017Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2018Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2018Q2,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2018Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2018Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A0XSN7,2019Q1,4,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,4,28/01/2019
AT0000A109Z8,2017Q2,2,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2017Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2017Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2018Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2018Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2018Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2018Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2019Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2019Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2019Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2019Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2020Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A109Z8,2020Q2,7,ECB,Buys,STRABAG SE,-,Construction,F,Austria,3,21/05/2020
AT0000A182L5,2017Q2,2,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2017Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2017Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2018Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2018Q2,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2018Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2018Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2019Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2019Q2,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2019Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2019Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2020Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2020Q2,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2020Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2020Q4,12,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2021Q1,12,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A182L5,2021Q2,12,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,3,23/06/2021
AT0000A1C741,2017Q2,2,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2017Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2017Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2018Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2018Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2018Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2018Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2019Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2019Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2019Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2019Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2020Q1,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2020Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2020Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2020Q4,12,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2021Q1,12,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2021Q2,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2021Q3,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2021Q4,13,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1C741,2022Q1,4,ECB,Buys,STRABAG SE,-,Construction,F,Austria,1.625,04/02/2022
AT0000A1LHT0,2017Q2,2,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2017Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2017Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2018Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2018Q2,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2018Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2018Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2019Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2019Q2,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2019Q3,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2019Q4,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
AT0000A1LHT0,2020Q1,13,ECB,Buys,NOVOMATIC AG,-,Financial And Insurance Activities,K,Austria,1.625,20/09/2023
