Issuer Name,Risk Country,Economic Sector,Year,Number of bonds,Avg. Emission Intensity
ABB Finance B.V.,Netherlands,Other sectors,2017,84,22819.977517263527
AEROPORTS DE PARIS,France,Infrastructure and transportation,2017,115,19.015738783180645
ASML Holding N.V.,Netherlands,Other sectors,2017,112,2.014488517415451
Achmea B.V.,Netherlands,Other sectors,2017,28,150.84
Air Liquide Finance,France,Other sectors,2017,28,1097.6010744625512
Air Liquide S.A.,France,Other sectors,2017,56,1097.6010744625512
Alliander N.V.,Netherlands,Utilities,2017,84,2909.17
Allianz Finance II B.V.,Netherlands,Other sectors,2017,134,639.8822767911323
Alstom S.A.,France,Other sectors,2017,11,14.151920145498455
Amadeus Capital Markets S.A.U.,Spain,Other sectors,2017,84,3118.1049069373944
Aroundtown SA,Other (euro area),Other sectors,2017,36,150.84
BASF Finance Europe N.V.,Netherlands,Other sectors,2017,56,737798.7209693706
BMW Finance N.V.,Netherlands,Other sectors,2017,560,2774.259943576906
"BRISA-Concessao Rodoviaria, SA",Other (euro area),Other sectors,2017,140,70.78
Bayer Capital Corp. B.V.,Netherlands,Other sectors,2017,28,5748.9733976075695
Brenntag Finance B.V.,Netherlands,Other sectors,2017,14,150.84
CARMILA,France,Real estate,2017,56,7754.552820541477
Citycon Treasury B.V.,Netherlands,Other sectors,2017,84,992.6667670531547
Coca Cola HBC Finance B.V.,Netherlands,Other sectors,2017,56,6072.349313705988
Coentreprise de Transport d'Electricit�,France,Utilities,2017,81,2909.1699999999996
Compagnie Fin. Ind. Autoroutes,France,Infrastructure and transportation,2017,96,1297.435971925258
Compagnie de Saint-Gobain S.A.,France,Other sectors,2017,84,280.5911319126519
Continental AG,Germany,Other sectors,2017,84,61.250313978198804
Covestro AG,Germany,Other sectors,2017,56,10601.77
Covivio S.A.,France,Real estate,2017,56,86.6
DAA Finance PLC,Other (euro area),Other sectors,2017,56,150.84
Daimler Intl Finance B.V.,Netherlands,Other sectors,2017,79,780.1328446420465
Deutsche Börse AG,Germany,Other sectors,2017,84,150.84
