,Year,Month,Total holdings,Month_Number
12,2017,Jun,96620,6
13,2017,Jul,102226,7
14,2017,Aug,106898,8
15,2017,Sep,114658,9
16,2017,Oct,121607,10
17,2017,Nov,128810,11
18,2017,Dec,131593,12
19,2018,Jan,137232,1
20,2018,Feb,142680,2
21,2018,Mar,148702,3
22,2018,Apr,151851,4
23,2018,May,156823,5
24,2018,Jun,162015,6
25,2018,Jul,165033,7
26,2018,Aug,166537,8
27,2018,Sep,170378,9
28,2018,Oct,173883,10
29,2018,Nov,176878,11
30,2018,Dec,178050,12
31,2019,Jan,177812,1
32,2019,Feb,178188,2
33,2019,Mar,177700,3
34,2019,Apr,177670,4
35,2019,May,177706,5
36,2019,Jun,177655,6
37,2019,Jul,177102,7
38,2019,Aug,177409,8
39,2019,Sep,176937,9
40,2019,Oct,177096,10
41,2019,Nov,183014,11
42,2019,Dec,184505,12
43,2020,Jan,189117,1
44,2020,Feb,194854,2
45,2020,Mar,201507,3
46,2020,Apr,207067,4
47,2020,May,212505,5
48,2020,Jun,219719,6
49,2020,Jul,224220,7
50,2020,Aug,228224,8
51,2020,Sep,236349,9
52,2020,Oct,243331,10
53,2020,Nov,248340,11
54,2020,Dec,250403,12
55,2021,Jan,255327,1
56,2021,Feb,259391,2
57,2021,Mar,266060,3
58,2021,Apr,271075,4
59,2021,May,276469,5
60,2021,Jun,281731,6
61,2021,Jul,287233,7
62,2021,Aug,291169,8
63,2021,Sep,296403,9
64,2021,Oct,301885,10
65,2021,Nov,307026,11
66,2021,Dec,309676,12
67,2022,Jan,316646,1
68,2022,Feb,322918,2
